material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
UNNAMED,48,0.3,2,1,5,32,250,265,270,275,270,114,50,699,,,739,734,800,,,,,,15,190,1.91,103.9
UNNAMED,48,0.4,2,1,15,48,240,250,255,260,260,84,50,1480,,,1600,1590,1650,,,,,,15,300,1.68,176.3
UNNAMED,48,0.4,2,1,25,48.2,240,250,255,260,260,133.5,51,2592,,,2602,2547,2685,,,,,,15,290,2.2,130.8
TPC-ET,12,0.5,4,1,14,34.7,210,220,230,240,240,134.6,62.8,800,850,865,900,935,985,,,,,80,18,390,0.83,360
TPC-ET,12,0.5,4,1,10,30.5,210,220,230,240,240,120,60,800,850,865,900,935,985,,,,,80,18,270,0.8,330
TPC-ET,12,0.5,4,1,14,34,210,220,230,240,250,163,60,1950,,,1965,1981,2060,,,,,80,18,180,1.16,261
TPC-ET,12,0.5,4,1,,,210,220,230,240,250,,,600,700,1400,1650,1610,1650,,,,,80,18,275,1.29,208
TPC-ET,12,0.5,4,1,14,34,210,220,230,240,250,,,600,700,1799,1790,1775,1820,,,,,80,20,250,1.41,176
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,750,1000,1375,1750,1735,1775,,140,160,145,15,18,155,2.8,21.5
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,950,1110,1390,1750,1735,1775,,140,160,145,15,18,130,2.26,19.11
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,1160,1300,1450,1750,1735,1775,,140,160,145,15,18,130,2.4,23
TPX,72,0.4,4,1,14,68,275,285,285,290,288,52.9,50,1160,1300,1450,1750,1735,1775,,140,160,145,15,18,130,1.7,17
TPX,72,0.4,4,1,15,69,20,275,285,290,300,56,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,135,3.23,21.17
TPX,72,0.4,4,1,15,69,20,275,285,290,300,53,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.7,21.83
TPX,72,0.4,4,1,15,69,20,275,285,290,300,48.3,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.5,23.61
TPX,72,0.4,4,1,15,69,20,275,285,290,300,45.8,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.31,23.72
TPX DX350,72,0.35,4,1,15,65,260,270,280,290,290,49.1,50,1325,1375,1600,2080,2050,2125,,195,160,150,15,20,130,3.03,20.75
TPX DX350,72,0.35,4,1,15,65,260,270,280,290,295,49.1,50,1290,1375,1600,2080,2050,2125,,195,160,150,15,20,130,2.74,21.67
rPET,72,0.3,2,1,15,83,245,255,260,270,265,35,50,1950,,,2000,1985,2050,,,,,15,18,220,1.35,173
rPET,72,0.3,2,1,15,83,245,255,260,270,265,68.5,50,2190,,,2201,2190,2280,,,,,15,24,210,1.28,171
PHB 2450 MOEL,48,0.4,4,1,8,50,165,170,175,185,185,57,50,850,,,955,970,1000,,,,,20,18,230,0.98,80
PET,72,0.4,2,1,18,80,260,275,280,285,290,55,40,2250,2400,2500,2550,2500,2595,22,,,,15,20,210,1.55,145
PET,72,0.4,2,1,21,75,255,265,270,280,285,49,40,,2400,2500,2550,2500,2595,22,,,,,,250,1.66,157
PET,72,0.4,2,1,21,80,255,265,270,280,285,32,40,,2400,2500,2550,2500,2595,22,,,,,,250,1.16,165
PP+7R,72,0.4,4,1,16,41.2,200,215,220,230,230,36.3,60,750,900,2100,2152,2025,2085,30,65,80,110,50,18,150,3.3,24.55
PP+7R,72,0.4,4,1,16,40.5,200,215,220,230,230,27,60,800,950,2150,2200,2025,2090,10,65,80,110,60,20,150,2.27,26.44
PP+7R,72,0.4,4,1,16,80,210,230,240,245,250,32.7,40,800,950,2150,2200,2040,2135,10,65,80,110,80,20,150,2.9,87
Rpet tejidos+Rpet,72,0.3,2,1,15,56,250,255,260,265,265,73.9,50,2190,,,2200,2191,2275,16,,,,30,22,205,1.53,149.1
Rpet tejidos+Rpet,72,0.3,2,1,15,56,250,255,260,265,265,73.9,50,2150,,,2190,2180,2275,16,,,,30,24,205,1.53,149.1
Rpet tejidos+Rpet,72,0.3,2,1,18,55,250,255,260,265,265,84,50,2890,,,2910,2905,3000,16,,,,,24,187,1.76,111
PA,48,0.4,2,1,23,77,240,245,250,250,250,78.1,55,3683,,,3750,3740,3860,,,,,40,24,150,4.11,64.5
PA,48,0.4,2,1,23,64,240,245,250,250,250,70,55,3683,,,3750,3740,3860,,,,,50,18,150,3.56,62.56
PA,48,0.4,2,1,23,60,235,240,240,245,245,87,55,3683,,,3750,3740,3860,,,,,40,18,160,3.51,69
TPC-ET,12,0.5,4,1,10,30,215,220,230,240,250,81,60,700,800,2050,2180,2150,2210,,80,100,120,80,20,136,1.66,99.67
TPC-ET,12,0.5,4,1,10,30,215,220,230,240,250,81,60,700,800,2050,2200,2130,2230,,80,100,115,80,20,140,1.65,102
TPC-ET,12,0.5,4,1,12,35,215,220,230,240,250,95,70,1250,1500,2650,2750,2450,2710,4,85,100,115,80,20,130,1.56,104
TPC-ET,12,0.5,4,1,12,35,215,220,230,240,250,98,70,1200,1499,2801,3052,2739,3050,,85,100,115,80,20,130,1.4,88.5
TPC-ET,12,0.5,4,1,12,35,215,220,230,240,250,99,70,1700,1799,3000,3399,3199,3360,3,85,100,115,80,20,105,1.77,104.2
PEBAX MV 1074 SA,36,0.4,4,1,12,29,200,210,215,220,225,92,70,1900,2000,2070,2100,2000,,,,,,80,20,190,1.66,195
A + rPET,72,0.3,2,1,18,56,250,255,260,260,265,107,50,2890,,,2910,2905,2990,,,,,30,24,185,2.19,105
A + rPET,36,0.3,2,1,16,68,260,265,270,270,274,135,60,2890,,,2910,2905,2990,,,,,30,24,155,1.8,121.2
A + rPET,36,0.3,2,1,16,68,260,265,270,270,274,135,60,2890,,,2900,2900,3000,,,,,30,24,155,1.8,122
A + rPET,72,0.3,2,1,14,44,250,255,260,265,260,99.2,50,2010,,,2049,2020,,16,,,,30,22,200,1.48,146.3
A + rPET,72,0.3,2,1,14,53,250,255,260,265,260,105,50,2308,,,2348,2318,,16,,,,30,24,175,1.63,131.8
TPX DX350,72,0.35,4,1,15,46,260,270,280,290,295,39.2,50,1290,1375,1600,2123,2050,2120,,135,160,150,15,20,130,1.46,20.5
TPX DX350,72,0.35,4,1,15,41,260,270,280,290,295,29,50,1450,1600,1784,2118,2050,2120,,135,160,150,15,5,130,2,21
ADVANITE S3001,72,0.35,4,1,21,41,250,265,265,270,265,64.4,65,850,1030,2550,2950,2850,2940,,70,80,100,45,20,205,2.76,23.94
ADVANITE S3001,72,0.35,4,1,21,40.5,240,250,260,260,265,79.5,65,850,1030,2575,2980,2850,2945,,70,85,100,45,18,205,3.02,26.17
ADVANITE S3001,72,0.35,4,1,21,39,240,250,260,260,265,91.6,65,900,1100,2700,2975,2850,2945,,75,89,100,45,18,205,3.02,27.8
ADVANITE S3001,72,0.35,4,1,21,43,255,260,265,270,270,76.5,65,900,1100,2700,2975,2850,2945,,75,89,100,45,18,200,2.74,32.2
ADVANITE S3001,72,0.35,4,1,21,44,255,260,265,270,270,82.7,65,900,1100,2700,2975,2850,2940,,70,80,100,45,18,195,3.1,35.22
ZK6 HF,48,0.4,4,1,16,24,250,260,265,270,280,120,75,1981,,1499,1991,1991,2065,20,,,,15,22,200,1.05,20.56
ZK6 HF,48,0.4,4,1,15,24,250,260,265,270,280,103,75,2494,,1499,2499,2499,2585,20,,,,15,22,180,1.13,17.5
ZK6 HF,48,0.4,4,1,15,24,260,270,275,280,290,88,75,1448,1600,1751,2010,1951,2025,20,90,130,110,25,20,180,0.95,12
ZK6 HF,72,0.6,4,1,15,21,255,260,265,270,290,70,22,1981,,,1991,1991,2055,23,,,,15,22,185,1.11,14
rPETD/rPET 20/80,48,0.3,2,1,24,51,260,265,270,270,275,37.2,50,2690,,,2710,2710,2800,,,,,50,20,270,1.6,133
rPETD/rPET 20/80,48,0.3,2,1,22,51,260,265,270,270,275,33.5,50,2690,,,2710,2710,2800,,,,,30,20,240,1.81,142
rPETD/rPET 20/80,48,0.3,2,1,20,51,260,265,270,270,275,49.6,50,2500,,,2520,2514,2600,,,,,30,20,240,1.62,149
rPETD/rPET 20/80,36,0.3,2,1,20,47,260,,,,280,131,60,2950,,,3000,3000,3100,36,,,,50,20,200,1.71,139.2
rPETD/rPET 20/80,36,0.3,2,1,20,48,260,,,,280,146.8,60,2880,,,2900,2900,3000,24,,,,30,20,205,1.76,146.5
rPETD/rPET 20/80,36,0.3,2,1,14,43.7,260,,,,280,113.4,60,2880,,,2900,2900,3000,18,,,,30,20,140,1.7,136.3
rPETD/rPET 20/80,36,0.3,2,1,13,42,260,,,,280,95,60,2880,,,2900,2900,3000,18,,,,30,10,130,1.76,140.8
rPETD/rPET 20/80,36,0.3,2,1,8.5,38,260,,,,280,64,60,2880,,,2900,2900,3000,18,,,,30,10,90,1.67,119.7
rPETPEC/rPET 50/50,36,0.3,2,1,12,30,250,260,265,265,260,96,60,2866,,,2900,2900,3000,,,,,50,20,120,1.34,143
PHB DANIMER,96,0.3,2,1,14,26,165,180,190,195,195,98,90,1301,1424,1850,2025,1976,2040,25,44,75,72,30,16,180,1.7,24
PHB DANIMER,96,0.3,2,1,19.5,28,165,180,190,195,195,106,70,2100,2224,2700,2827,2763,2840,15,45.45,80,72,30,18,180,1.55,32
ZK5HF PMMA,48,0.4,4,1,14,25,255,260,270,280,280,57,75,1476,,,2000,1995,2055,18,,,,25,19,180,0.95,24.4
ZK5HF PMMA,48,0.4,4,1,17,29,255,260,270,280,278,63,75,2485,,,2499,2494,2575,17,,,,25,16,180,1.05,14
ZK5HF PMMA,48,0.4,4,1,17,42,260,270,275,275,280,34.7,75,2485,,,2499,2495,2575,17,,,,25,16,178,1,21
ZK5HF PMMA,48,0.4,4,1,17,33,260,270,275,275,280,34.7,75,2485,,,2499,2495,2575,17,,,,25,16,179,1.18,24
PP COLOR ADDITVE UV,72,0.4,4,1,16,37,220,230,240,245,260,43.5,60,802,949,1951,2201,2083,2180,19,65,80,120,80,16,140,3.23,77.33
PP COLOR ADDITVE UV,72,0.4,4,1,16,37,220,230,240,245,260,43.5,60,602,744,1951,2201,2093,2180,19,65,80,120,80,16,140,3.44,67.44
PP COLOR ADDITVE UV,72,0.4,4,1,16,40,220,230,240,245,260,40.2,60,602,744,1951,2201,2083,2165,19,65,80,120,80,16,140,3.52,63.89
PP COLOR ADDITVE UV,72,0.4,4,1,16.5,36,220,230,240,245,260,56,60,602,744,1951,2201,2083,2165,19,65,80,120,80,16,140,3.27,54.4
PP COLOR ADDITVE UV,72,0.4,4,1,16.5,55,220,230,240,245,260,50,60,602,744,1951,2201,2083,2165,19,65,80,120,80,16,146,3.37,76.4
rPET+2pc COLOR AMARILLO,72,0.3,2,1,22,62,275,285,285,295,295,145,60,699,749,1350,2429,2499,2580,,90,100,130,85,16,250,2.6,30
rPET+2pc COLOR AMARILLO,72,0.3,2,1,22,62,275,285,285,295,295,140,60,699,749,1500,2753,2665,2760,,90,100,130,85,16,250,2.3,26
rPET,72,0.3,2,1,14,44,265,275,280,285,290,110.3,70,2690,,,2710,2730,2800,,,,,30,18,145,2.3,104
rPET,72,0.3,2,1,13,49,265,275,280,285,290,100.8,70,2690,,,2710,2730,2800,,,,,30,18,137,2.4,120
rPET,72,0.3,2,1,12.5,62,270,280,285,290,290,98,70,2690,,,2710,2730,2800,,,,,30,18,135,2.35,115
rPET,72,0.3,2,1,14,58,270,275,285,290,295,114.4,70,2700,,,2720,2735,2800,,,,,30,20,150,2.62,114.8
rPET,72,0.3,2,1,12,58.4,270,275,285,290,295,99.2,70,2700,,,2720,2735,2800,,,,,30,20,130,2.59,115
TPE+10pc PLASTIFICANTE,48,0.4,4,1,14,33,190,195,200,205,210,28,70,2401,,,2401,2436,2520,,,,,40,23,170,0.64,130
TPE+10pc PLASTIFICANTE,48,0.4,4,1,14,33,190,195,200,205,210,28,70,2700,,,2724,2749,2850,,,,,80,25,150,0.7,114.8
rPET DECATHLON,36,0.3,2,1,14,54,250,260,265,265,260,171,60,2866,,,2900,2900,3000,,,,,40,20,135,1.6,118.8
rPET 50/50,36,0.3,2,1,14,62,260,265,270,270,270,91.5,60,2866,,,2800,2900,3000,,,,,60,20,140,1.45,130.8
rPET 50/50,36,0.3,2,1,13.5,61,260,265,270,270,272,86.5,60,2866,,,2800,2900,3000,,,,,60,20,135,1.45,133.9
rPET 50/50,36,0.3,2,1,13,67,260,265,270,270,272,80.8,60,2866,,,2800,2900,3000,,,,,60,20,130,1.49,140
NEGOMBO,72,0.3,2,1,15,70,250,260,260,265,270,46.2,60,2866,,,2900,2900,3000,,,,,60,20,150,1.72,104
PET,48,0.4,2,1,25,50,240,250,255,260,265,200,50,2886,,,2910,2895,2990,21,,,,40,15,270,2.2,143.4
PET,48,0.4,2,1,26.5,50,240,250,255,260,265,222,50,2886,,,2910,2895,2990,21,,,,40,15,295,2.15,142
PET,48,0.4,2,1,30.5,52,240,250,255,265,270,217,50,3390,,,3414,3405,3500,21,,,,50,16,290,2.31,134.4
PET,48,0.4,2,1,35,56,240,250,255,270,275,201,50,3890,,,3815,3885,4000,21,,,,70,16,295,2.31,108.3
PEF,48,0.4,2,1,17,40.8,240,250,255,260,260,170,50,3903,,,3898,3883,4000,12,,,,50,16,135,2.87,97
PEF,48,0.4,2,1,13.6,38,240,250,255,260,260,170,50,3395,,,,3399,3500,12,,,,50,16,125,2.54,83.5
PEF,48,0.4,2,1,13.6,35,240,250,255,260,260,153,50,3395,,,,3399,3500,12,,,,50,16,120,2.43,93.2
PET+PEF,48,0.4,2,1,13,32,270,280,285,285,290,230,80,323,650,1750,2102,2005,2070,17,120,130,140,40,10,200,3.03,38.4
PET+PEF,48,0.4,2,1,12,45,270,275,280,285,285,130,80,2900,,,2910,2885,2995,13,,,,50,15,125,2.85,86.2
PET+PEF,48,0.4,2,1,12,45,275,285,290,290,290,130,80,2900,,,2910,2885,2995,13,,,,50,15,125,3.08,94.44
PET+PEF,48,0.4,2,1,13,35,275,285,290,290,290,130,80,2900,,,2910,2885,2995,13,,,,50,15,135,2.9,93.5
rPET,36,0.3,2,1,13,61,268,273,280,275,278,76,60,2876,,,2900,2900,3005,,,,,30,16,130,1.64,141.3
PET SEMI-MAT GRAPHENE,48,0.3,2,1,20,62,280,290,295,295,295,267,60,3000,,,3008,3003,3100,,,,,40,30,140,2.32,132.1
PET SEMI-MAT GRAPHENE,48,0.3,2,1,20,55,280,290,295,295,295,344,60,3000,,,3008,3003,3100,,,,,40,30,140,2.44,120.7
PET SEMI-MAT GRAPHENE,48,0.3,2,1,20,71,265,270,275,280,285,201,60,3000,,,3008,3003,3100,,,,,40,30,145,1.94,182.2
PE PURELL,72,0.4,4,1,28,44,200,200,200,200,205,347,60,500,720,1000,1100,1052,1050,2.2,60,40,,80,30,170,0.41,292.8
PE PURELL,72,0.4,4,1,42,59,200,200,200,200,205,345,60,500,800,2350,2600,2350,2430,17,40,40,70,80,30,320,1.88,120
NEGOMBO,36,0.3,2,1,13,45,270,275,280,275,280,203,60,2876,,,2925,2930,3091,,,,,40,16,130,2.08,115
NEGOMBO,36,0.3,2,1,13,45,275,278,280,285,285,167,60,2876,,,2949,2974,3045,,,,,40,16,130,2.02,130
NEGOMBO,36,0.3,2,1,14,40,275,280,290,295,298,200,75,2949,,,2978,2964,3065,20,,,,40,16,140,2.15,129
NEGOMBO,36,0.3,2,1,13.5,40,275,280,290,290,295,207,75,2955,,,2978,2960,3065,12,,,,40,16,130,2.11,130
NEGOMBO,72,0.3,2,1,13.5,46,280,290,295,295,305,139,75,2954,,,2970,2960,3068,16,,,,40,20,135,2.22,126
NEGOMBO,72,0.3,2,1,13.2,45,280,290,295,305,305,130,75,2954,,,2970,2960,3068,16,,,,40,20,130,2.15,126
NEGOMBO,72,0.3,2,1,13,46,280,290,295,305,300,139,75,2880,,,2915,2900,3000,18,,,,40,20,130,2.3,130
NEGOMBO,72,0.3,2,1,13,46,280,290,295,305,300,139,75,2900,,,2930,2895,3000,18,,,,30,20,130,2.3,133
TPX DX350,48,0.4,4,1,10,51,275,285,290,290,285,47,80,1600,1650,1960,2350,2250,2330,,135,160,140,30,15,85,2,20
TPX DX350,48,0.4,4,1,10.2,53,275,285,290,290,285,37,80,1600,1650,1960,2350,2250,2330,,135,160,140,30,15,88,2.05,72
TPX DX350,48,0.4,4,1,19.5,51,275,285,290,290,285,42,80,920,1070,1638,2108,2044,2120,,135,160,140,30,12,88,3.54,25.7
TPX DX350,48,0.4,4,1,19.5,51,275,285,290,290,285,42,80,950,1100,1670,2108,2044,2124,13,135,160,140,30,12,90,3.3,25.7
TPX DX350,48,0.4,4,1,19.5,51,275,285,290,290,285,42,80,960,1100,1680,2108,2044,2124,13,135,160,140,30,12,90,3.37,26.4
NEGOMBO,72,0.3,2,1,13,46,268,273,280,275,278,32,60,2851,,,2861,2861,,,,,,20,16,130,1.78,138.5
NEGOMBO,72,0.3,2,1,13,46,268,273,280,275,278,29,60,3101,,,3125,3125,3230,,,,,30,16,123,1.72,123
NEGOMBO,72,0.3,2,1,14,53,270,275,283,278,278,29,60,2875,,,2940,2940,3040,,,,,30,16,130,1.78,132
rPET,72,0.4,2,1,24,45,285,295,300,300,297,251,120,3037,,,3057,3027,3130,,,,,50,25,230,2.78,120
rPET,72,0.4,2,1,22,43,285,295,300,300,297,240,100,3037,,,3057,3027,3130,,,,,50,24,210,2.43,105
TPX DX350,48,0.4,4,1,11,65,275,285,290,290,285,32,120,1600,1800,2600,2612,2543,2650,,150,160,140,30,20,85,1.8,20
TPX DX350,48,0.4,4,1,11.2,65,275,285,290,290,285,32,120,1600,1800,2600,2612,2543,2650,,150,160,140,30,20,85,2.25,22
TPX DX350,48,0.4,4,1,12,92.6,275,285,290,290,285,32,120,1648,1826,2215,2675,2602,2700,,150,160,140,30,20,88,2.23,23.6
TPX DX350,48,0.4,4,1,9.5,87,275,285,290,290,288,17.1,120,980,1124,1095,2108,2045,2134,,160,160,150,15,18,91,3.42,27.5
TPX DX350,48,0.4,4,1,9.5,87,275,285,290,290,288,17.1,120,990,1140,1700,2108,2045,2134,,160,160,150,15,18,90,3.98,28.2
TPX DX350,48,0.4,4,1,9.4,82,275,285,290,290,285,23,120,890,1050,1650,2020,1945,2035,,160,165,150,30,16,90,3.44,28.4
TPX DX350,48,0.4,4,1,9.5,82,275,285,290,290,285,23,120,1800,1920,1970,2070,1985,2075,,160,165,150,30,16,88,1.4,25
LLDPE,72,0.6,4,1,26,70,250,260,265,265,265,70,95,323,476,601,724,709,740,,55,60,70,70,15,685,0.36,445
LLDPE,72,0.6,4,1,30,53,215,220,225,225,225,145,120,641,670,2350,2602,2274,2370,,50,50,72,85,25,240,1.72,250
LLDPE,72,0.6,4,1,30,53,215,220,225,225,225,145,120,650,670,2350,2700,2375,2475,,50,50,72,85,25,230,1.84,234
LLDPE,72,0.6,4,1,30,53,215,220,225,225,225,145,120,650,670,2710,3000,2800,2900,,50,50,72,85,25,195,2.1,156
LLDPE,72,0.6,4,1,22,53,215,220,225,225,225,140,140,650,699,2200,2500,2450,2520,,50,62,77,5,20,170,1.81,196
TPX DX350,48,0.4,4,1,15,88,275,285,290,290,285,50,120,1648,1826,2215,2675,2577,2680,,158,185,150,30,20,110,2.26,22.17
TPX DX350,48,0.4,4,1,17.4,89,275,285,290,290,285,65.3,120,1648,1826,2215,2675,2577,2680,,158,185,150,30,20,131,2.14,23.11
PLA+10pcSIL,48,0.4,2,1,11,50,210,215,220,225,225,0,40,850,900,1800,2050,2050,2109,,70,100,131,30,18,160,1.12,32.68
PLA+10pcSIL,48,0.4,2,1,13,55,210,215,220,225,225,0,40,850,900,1300,2350,2500,2573,,70,100,131,30,18,150,1.92,33.7
rPET,72,0.3,2,1,13,74,280,285,290,290,290,104.4,70,2900,,,2915,2815,3000,14,,,,30,20,130,2.45,111.22
rPET,72,0.3,2,1,13,79,280,288,292,295,295,104.2,105,2810,,,2817,2793,2920,14,,,,30,18,133,2.58,124.42
BICO PET,72,0.4,2,1,13.4,58,280,285,290,290,290,85,80,800,1000,1650,2100,2100,2160,,90,125,130,40,10,260,1.85,33.1
