Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
36.0,0.4,4.0,60.0,10.0,23.9,280.0,285.0,285.0,290.0,295.0,95.2,69.1,968.0,1005.0,1701.0,1751,1780,1845.0,85.0,110.0,110.0,20.0,24.0,1.4,155,0.54,44.94,0.0,0.0
48.0,0.4,4.0,60.0,10.7,30.2,280.0,280.0,280.0,285.0,285.0,79.1,75.0,949.0,999.0,1751.0,1810,1834,1895.0,85.0,100.0,80.0,30.0,24.0,1.5,170,1.64,64.69,850.0,500.0
48.0,0.4,4.0,60.0,10.7,30.7,280.0,280.0,280.0,285.0,285.0,79.1,75.0,949.0,999.0,1909.0,1961,1991,2060.0,85.0,100.0,90.0,30.0,24.0,1.5,160,1.67,73.79,850.0,500.0
48.0,0.4,4.0,60.0,10.7,30.7,280.0,280.0,280.0,285.0,285.0,79.1,75.0,949.0,999.0,1989.0,2132,2167,2230.0,85.0,100.0,90.0,30.0,24.0,1.5,140,1.99,44.83,850.0,500.0
72.0,0.3,2.0,60.0,18.6,59.0,275.0,280.0,285.0,285.0,285.0,25.6,70.0,1500.0,1650.0,2550.0,2563,2617,2700.0,90.0,105.0,125.0,30.0,22.0,1.35,205,2.9,62.93,0.0,0.0
72.0,0.3,2.0,60.0,20.0,60.0,275.0,280.0,285.0,285.0,285.0,29.0,70.0,1500.0,1650.0,2550.0,2563,2617,2700.0,90.0,105.0,125.0,30.0,22.0,1.35,220,2.9,62.93,0.0,0.0
72.0,0.3,2.0,60.0,22.0,60.0,275.0,280.0,285.0,285.0,285.0,37.9,70.0,1500.0,1650.0,2700.0,2700,2725,2810.0,90.0,105.0,125.0,30.0,22.0,1.35,233,2.6,46.0,0.0,0.0
72.0,0.3,0.6666666666666666,178.0,22.0,84.0,275.0,280.0,285.0,280.0,280.0,0.3,70.0,1500.0,1650.0,2700.0,2700,2724,2810.0,90.0,105.0,125.0,30.0,22.0,1.35,235,1.2,46.22,100.0,80.0
72.0,0.3,0.6666666666666666,178.0,22.0,78.25,270.0,270.0,275.0,275.0,280.0,0.0,72.6,1500.0,1650.0,2300.0,2500,2700,2795.0,90.0,105.0,125.0,30.0,22.0,1.35,240,1.14,61.9,100.0,80.0
72.0,0.3,2.0,178.0,22.0,68.0,260.0,265.0,270.0,270.0,272.0,17.0,60.0,1500.0,1650.0,2150.0,2548,2714,2795.0,90.0,110.0,125.0,30.0,24.0,1.35,240,1.32,44.33,500.0,355.0
72.0,0.3,2.0,178.0,22.0,68.0,260.0,265.0,270.0,270.0,275.0,2.0,60.0,1500.0,1650.0,2150.0,2548,2715,2795.0,90.0,110.0,125.0,30.0,26.0,1.3,240,1.51,55.72,850.0,500.0
36.0,0.3,2.0,60.0,6.0,50.0,285.0,295.0,300.0,295.0,285.0,88.0,51.0,582.0,809.0,1505.0,2196,2191,2240.0,75.0,102.0,140.0,40.0,10.0,1.3,160,4.38,43.83,800.0,500.0
24.0,0.3,2.0,60.0,10.0,46.8,225.0,230.0,230.0,235.0,240.0,58.0,75.0,1526.0,1600.0,2685.0,2802,2861,2955.0,70.0,90.0,110.0,20.0,20.0,1.3,100,2.84,27.04,500.0,350.0
24.0,0.3,2.0,60.0,8.0,49.4,225.0,230.0,230.0,235.0,240.0,49.6,75.0,1624.0,1701.0,2685.0,2802,2861,2955.0,70.0,90.0,110.0,20.0,18.0,1.3,79,2.92,27.5,500.0,350.0
24.0,0.3,2.0,60.0,5.0,45.6,225.0,230.0,230.0,235.0,240.0,34.8,75.0,1825.0,1900.0,2685.0,2802,2861,2955.0,70.0,90.0,110.0,20.0,18.0,1.3,48,2.87,24.0,500.0,350.0
72.0,0.35,4.0,60.0,14.5,54.0,275.0,280.0,280.0,285.0,290.0,49.0,70.0,800.0,850.0,2400.0,2675,2675,2760.0,80.0,90.0,120.0,25.0,22.0,1.3,155,3.21,36.94,500.0,355.0
72.0,0.35,4.0,60.0,14.0,50.0,245.0,250.0,255.0,260.0,265.0,41.0,70.0,1100.0,1249.0,2700.0,2700,2641,2720.0,75.0,85.0,115.0,25.0,22.0,1.3,158,3.0,22.72,500.0,355.0
72.0,0.35,4.0,60.0,14.0,28.0,265.0,270.0,275.0,275.0,275.0,48.8,70.0,800.0,950.0,2350.0,2400,2320,2390.0,65.0,80.0,115.0,20.0,20.0,1.3,164,1.98,18.72,850.0,500.0
72.0,0.35,4.0,60.0,13.8,29.0,265.0,270.0,275.0,275.0,275.0,46.8,70.0,900.0,1050.0,2450.0,2460,2406,2490.0,65.0,80.0,115.0,20.0,20.0,1.3,159,1.86,26.4,850.0,500.0
72.0,0.4,4.0,60.0,14.0,75.0,270.0,280.0,285.0,290.0,295.0,29.0,50.0,783.0,900.0,1499.0,2201,2171,2245.0,120.0,160.0,145.0,40.0,16.0,1.1,130,4.26,26.28,0.0,0.0
72.0,0.4,4.0,60.0,16.0,71.0,265.0,275.0,280.0,285.0,295.0,32.0,50.0,783.0,900.0,1499.0,2201,2171,2245.0,120.0,160.0,145.0,40.0,16.0,1.1,150,3.92,25.28,0.0,0.0
72.0,0.3,2.0,178.0,20.0,52.8,240.0,260.0,265.0,270.0,275.0,102.8,65.0,800.0,900.0,2600.0,2950,2930,3055.0,70.0,85.0,115.0,30.0,22.0,1.3,185,2.61,34.94,500.0,355.0
72.0,0.4,4.0,60.0,14.0,68.0,265.0,275.0,280.0,285.0,285.0,42.0,50.0,1100.0,1249.0,1751.0,2201,2176,2245.0,130.0,160.0,140.0,20.0,18.0,1.1,125,3.7,23.5,0.0,0.0
72.0,0.3,2.0,178.0,21.0,47.0,250.0,260.0,265.0,270.0,270.0,93.0,65.0,800.0,980.0,2700.0,2950,2940,3050.0,70.0,85.0,115.0,45.0,20.0,1.3,195,2.75,27.94,0.0,0.0
72.0,0.3,2.0,178.0,21.0,47.0,250.0,260.0,265.0,270.0,270.0,100.0,65.0,800.0,980.0,2700.0,2950,2940,3050.0,70.0,85.0,100.0,45.0,20.0,1.3,195,2.94,31.17,0.0,0.0
72.0,0.4,4.0,60.0,14.0,56.64,260.0,265.0,270.0,275.0,290.0,48.4,60.3,1100.0,1249.0,1751.0,2201,2176,2245.0,130.0,160.0,150.0,15.0,18.0,1.05,130,3.5,21.22,0.0,0.0
72.0,0.35,4.0,60.0,13.8,41.56,260.0,265.0,270.0,275.0,275.0,88.3,75.4,900.0,1100.0,2200.0,2470,2406,2490.0,60.0,77.0,115.0,15.0,20.0,1.2,158,2.67,40.87,500.0,355.0
72.0,0.35,4.0,60.0,20.6,47.24,200.0,210.0,225.0,230.0,230.0,104.4,63.9,719.0,950.0,1300.0,1750,1760,1835.0,65.0,80.0,80.0,90.0,15.0,2.25,240,1.2,197.0,500.0,355.0
72.0,0.35,4.0,60.0,20.1,53.0,200.0,210.0,225.0,230.0,230.0,103.0,65.0,750.0,900.0,1550.0,1960,1950,2010.0,70.0,80.0,80.0,90.0,17.0,2.25,220,1.16,100.78,500.0,355.0
72.0,0.6,4.0,178.0,33.0,94.32,240.0,260.0,275.0,280.0,280.0,32.1,66.1,523.0,550.0,1600.0,1858,1820,1882.0,70.0,135.0,125.0,60.0,12.0,2.1,330,3.72,80.3,0.0,0.0
72.0,0.6,4.0,178.0,36.0,94.32,240.0,260.0,275.0,280.0,280.0,32.1,66.1,523.0,550.0,1600.0,1960,1910,1980.0,70.0,135.0,125.0,60.0,12.0,2.1,340,3.17,61.0,0.0,0.0
12.0,0.5,4.0,178.0,21.5,56.0,210.0,210.0,225.0,230.0,230.0,125.0,65.0,750.0,900.0,1550.0,1960,1950,2010.0,60.0,70.0,80.0,90.0,17.0,2.25,220,1.33,144.79,0.0,0.0
12.0,0.5,4.0,178.0,21.5,54.0,200.0,210.0,230.0,230.0,230.0,170.0,65.0,750.0,1000.0,1550.0,1960,1950,2010.0,60.0,70.0,80.0,90.0,20.0,2.25,220,1.28,162.83,0.0,0.0
75.0,0.3,2.0,90.0,24.0,63.0,270.0,280.0,290.0,290.0,290.0,118.0,60.0,750.0,800.0,1500.0,2550,2485,2560.0,85.0,100.0,130.0,30.0,18.0,1.3,300,2.7,27.0,0.0,0.0
75.0,0.3,2.0,90.0,25.0,62.0,270.0,280.0,290.0,290.0,295.0,115.4,65.0,700.0,750.0,1500.0,2515,2485,2565.0,85.0,100.0,130.0,30.0,18.0,1.3,290,2.9,27.0,0.0,0.0
75.0,0.3,2.0,90.0,25.2,63.0,275.0,285.0,285.0,285.0,295.0,115.7,60.0,700.0,750.0,1300.0,2515,2485,2565.0,85.0,100.0,130.0,30.0,18.0,1.3,300,2.52,27.2,0.0,0.0
75.0,0.3,2.0,90.0,25.1,63.0,275.0,285.0,285.0,285.0,290.0,115.7,60.0,875.0,900.0,1300.0,2500,2485,2565.0,85.0,100.0,130.0,30.0,18.0,1.3,300,2.2,43.25,0.0,0.0
75.0,0.3,2.0,90.0,25.0,63.0,275.0,285.0,285.0,285.0,290.0,115.7,60.0,700.0,750.0,1300.0,2500,2485,2565.0,85.0,100.0,130.0,30.0,18.0,1.3,300,2.9,25.22,0.0,0.0
75.0,0.3,2.0,90.0,25.0,62.0,275.0,285.0,285.0,285.0,290.0,126.0,58.0,765.0,820.0,1375.0,2515,2485,2565.0,85.0,100.0,130.0,40.0,18.0,1.3,300,2.43,28.67,0.0,0.0
48.0,0.4,4.0,90.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,31.0,50.0,1350.0,1425.0,1850.0,1930,1995,2075.0,45.0,60.0,90.0,20.0,15.0,1.3,195,1.3,33.0,855.0,500.0
48.0,0.4,4.0,90.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,32.2,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,45.0,60.0,70.0,20.0,15.0,1.3,190,1.4,34.0,855.0,500.0
48.0,0.4,4.0,90.0,14.0,54.5,165.0,170.0,175.0,185.0,185.0,41.5,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,45.0,60.0,70.0,20.0,15.0,1.3,198,1.2,30.0,855.0,500.0
72.0,0.4,4.0,60.0,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,750.0,1000.0,1375.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,155,2.8,21.5,0.0,0.0
72.0,0.4,4.0,60.0,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,950.0,1150.0,1390.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,2.26,19.11,0.0,0.0
72.0,0.4,4.0,60.0,12.5,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,2.4,23.0,0.0,0.0
72.0,0.4,4.0,60.0,12.5,68.0,275.0,285.0,285.0,290.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,1.7,17.0,0.0,0.0
72.0,0.4,4.0,60.0,15.0,69.0,270.0,275.0,285.0,290.0,300.0,56.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,135,3.23,21.17,0.0,0.0
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,53.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.7,21.83,0.0,0.0
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,48.3,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.5,23.61,0.0,0.0
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,45.8,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.31,23.72,0.0,0.0
72.0,0.35,4.0,60.0,15.0,65.0,260.0,270.0,280.0,290.0,290.0,49.1,50.0,1325.0,1375.0,1600.0,2080,2050,2125.0,135.0,160.0,150.0,15.0,20.0,1.1,130,3.03,20.75,0.0,0.0
72.0,0.35,4.0,60.0,15.0,65.0,260.0,270.0,280.0,290.0,295.0,49.1,50.0,1290.0,1375.0,1600.0,2080,2050,2125.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.75,21.67,0.0,0.0
72.0,0.4,4.0,90.0,16.0,41.2,200.0,215.0,220.0,230.0,230.0,36.3,60.0,750.0,900.0,2100.0,2152,2025,2085.0,65.0,80.0,110.0,50.0,18.0,1.5,150,3.36,24.55,0.0,0.0
72.0,0.4,4.0,90.0,16.0,40.5,200.0,215.0,220.0,230.0,230.0,27.1,60.0,800.0,950.0,2150.0,2200,2025,2090.0,65.0,80.0,110.0,60.0,20.0,1.94,150,2.27,20.44,0.0,0.0
72.0,0.4,4.0,90.0,16.0,80.0,210.0,230.0,240.0,245.0,250.0,32.7,40.0,800.0,950.0,2150.0,2200,2040,2135.0,65.0,80.0,110.0,80.0,20.0,2.2,150,2.9,87.0,0.0,0.0
12.0,0.5,4.0,178.0,10.0,30.0,215.0,220.0,230.0,240.0,250.0,81.0,60.0,700.0,800.0,2050.0,2180,2150,2210.0,80.0,100.0,120.0,80.0,20.0,1.3,136,1.66,99.67,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,95.0,70.0,1250.0,1500.0,2650.0,2750,2450,2710.0,85.0,100.0,115.0,80.0,20.0,1.3,130,1.56,104.0,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,98.0,70.0,1300.0,1499.0,2801.0,3052,2739,3050.0,85.0,100.0,115.0,80.0,20.0,1.3,120,1.9,88.5,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,99.0,70.0,1700.0,1799.0,3000.0,3399,3199,3360.0,85.0,100.0,115.0,80.0,20.0,1.3,105,1.77,104.2,0.0,0.0
72.0,0.35,4.0,60.0,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.46,20.5,0.0,0.0
72.0,0.35,4.0,60.0,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,22.0,0.0,0.0
72.0,0.35,4.0,60.0,15.0,41.0,260.0,270.0,280.0,290.0,295.0,29.0,50.0,1450.0,1600.0,1784.0,2118,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,21.0,0.0,0.0
72.0,0.35,4.0,178.0,21.0,41.0,250.0,265.0,265.0,270.0,265.0,64.4,65.0,850.0,1030.0,2550.0,2950,2850,2940.0,70.0,80.0,100.0,45.0,20.0,1.3,205,2.76,23.94,0.0,0.0
72.0,0.35,4.0,178.0,21.0,40.5,240.0,250.0,260.0,260.0,265.0,79.5,65.0,850.0,1030.0,2575.0,2980,2850,2945.0,70.0,85.0,100.0,45.0,18.0,1.3,205,3.02,26.17,0.0,0.0
72.0,0.35,4.0,178.0,21.0,39.0,240.0,250.0,260.0,260.0,265.0,91.6,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,75.0,89.0,100.0,45.0,18.0,1.3,205,3.02,27.8,0.0,0.0
72.0,0.35,4.0,178.0,21.0,43.0,255.0,260.0,265.0,270.0,270.0,76.5,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,75.0,89.0,100.0,45.0,18.0,1.3,200,2.74,32.2,0.0,0.0
72.0,0.35,4.0,178.0,21.0,44.0,255.0,260.0,265.0,270.0,270.0,82.7,65.0,900.0,1100.0,2700.0,2975,2850,2940.0,70.0,80.0,100.0,45.0,18.0,1.3,195,3.1,35.22,0.0,0.0
96.0,0.3,2.0,30.0,14.0,26.0,165.0,180.0,190.0,195.0,195.0,98.0,70.0,1301.0,1424.0,1850.0,2025,1976,2040.0,44.0,75.0,72.0,30.0,16.0,1.3,180,1.7,24.0,500.0,355.0
96.0,0.3,2.0,30.0,19.5,28.0,165.0,180.0,190.0,200.0,200.0,106.0,70.0,2100.0,2224.0,2700.0,2827,2763,2840.0,45.0,80.0,72.0,30.0,18.0,1.3,180,1.55,32.0,500.0,355.0
72.0,0.4,4.0,60.0,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,802.0,949.0,1951.0,2201,2083,2180.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.23,77.33,0.0,0.0
72.0,0.4,4.0,60.0,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,602.0,749.0,1951.0,2201,2093,2180.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.44,67.44,0.0,0.0
72.0,0.4,4.0,60.0,16.0,40.0,220.0,230.0,240.0,245.0,260.0,40.2,60.0,602.0,749.0,1951.0,2201,2083,2165.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.52,63.89,0.0,0.0
72.0,0.4,4.0,60.0,16.5,36.0,220.0,230.0,240.0,245.0,260.0,56.0,60.0,602.0,749.0,1951.0,2201,2083,2165.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.27,54.4,0.0,0.0
